"controller_id","asset_id","occurrence_datetime","latitude","longitude","sent_datetime","snapshot"
"65","70",2023-05-23 11:49:33.717,"40.174","74.252",2023-05-23 11:49:33.717,"{ts:1684856973717,param:{{name:'Y',node:'1',status:'OK',value:'431.903',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.248667',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.28',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'302.463',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:49:32.717,"40.174","74.252",2023-05-23 11:49:32.717,"{ts:1684856972717,param:{{name:'z_variance',node:'1',status:'OK',value:'0.250167',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'431.836',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'302.475',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.2785',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:48:54.716,"40.174","74.252",2023-05-23 11:48:54.716,"{ts:1684856934716,param:{{name:'z_variance',node:'1',status:'OK',value:'0.250167',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'302.884',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'429.518',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.2785',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:48:21.714,"40.174","74.252",2023-05-23 11:48:21.714,"{ts:1684856901714,param:{{name:'Y',node:'1',status:'OK',value:'427.532',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.269167',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'303.234',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.2595',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:48:20.718,"40.174","74.252",2023-05-23 11:48:20.718,"{ts:1684856900718,param:{{name:'Y',node:'1',status:'OK',value:'427.466',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.281334',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.247333',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'303.246',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:48:19.719,"40.174","74.252",2023-05-23 11:48:19.719,"{ts:1684856899719,param:{{name:'Y',node:'1',status:'OK',value:'427.466',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.281334',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.247333',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'303.246',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:48:02.716,"40.174","74.252",2023-05-23 11:48:02.716,"{ts:1684856882716,param:{{name:'Y',node:'1',status:'OK',value:'426.406',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.267167',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.2615',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'303.433',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:47:54.719,"40.174","74.252",2023-05-23 11:47:54.719,"{ts:1684856874719,param:{{name:'X',node:'1',status:'OK',value:'303.514',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.286333',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.242334',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'425.942',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:47:11.715,"40.174","74.252",2023-05-23 11:47:11.715,"{ts:1684856831715,param:{{name:'Z',node:'1',status:'OK',value:'0.842',value_type:'INTEGER'},{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'423.36',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.313333',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'303.97',value_type:'INTEGER'}}}"
"65","70",2023-05-23 11:47:05.713,"40.174","74.252",2023-05-23 11:47:05.713,"{ts:1684856825713,param:{{name:'MODEL',node:'1',status:'OK',value:'2',value_type:'INTEGER'},{name:'LAYER',node:'1',status:'OK',value:'336',value_type:'INTEGER'},{name:'JOB',node:'1',status:'OK',value:'1',value_type:'INTEGER'},{name:'z_variance',node:'1',status:'OK',value:'0.29816600000000004',value_type:'INTEGER'},{name:'X',node:'1',status:'OK',value:'304.04',value_type:'INTEGER'},{name:'Y',node:'1',status:'OK',value:'422.962',value_type:'INTEGER'},{name:'Z',node:'1',status:'OK',value:'0.826833',value_type:'INTEGER'}}}"
